what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495723767982
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495723771337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723772319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723780910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1495723780918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723781184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723781209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723782834
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1495723785958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723794584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1495723794591
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495723795182
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1495723797952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723798229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723807156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723829466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723840551
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495723842092
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495723844032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723845327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723867672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723873710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723878175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723879438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723994926
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495723996005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495723999263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724002384
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1495724004359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724004637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724011660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724012085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724013832
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495724013852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724015726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724021561
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495724021577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724023355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724024432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724029247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724726306
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495724727045
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495724727877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724764753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724776203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724778009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724818307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495724862529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725127472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725195351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725196233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725197470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725224586
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1495725240650
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1495725242008
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725242588
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725264429
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725265653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725267301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725343769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725351741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725403796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725416190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725418816
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495725418830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725419670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495725429951
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725429974
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1495725432230
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725433933
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725433977
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495725437389
